state,county,year,median_household_income,annual_rent
17,097,2019,89427,1426.3584017237392
18,157,2019,53130,1004.7033624939148
18,057,2019,98173,1287.1971078487456
18,005,2019,63431,948.5722020066124
18,063,2019,81933,1203.371521402024
13,073,2019,82339,1222.508210643211
13,117,2019,107218,1585.837099071833
19,163,2019,61183,812.3431225302007
05,143,2019,50451,1044.8261522608047
05,031,2019,47286,965.5683253365478
05,085,2019,59094,954.7995134684743
05,119,2019,51749,826.7874774167791
06,047,2019,53672,1297.712496010968
06,013,2019,99716,2305.516157898744
06,099,2019,60704,1416.3178691934347
06,083,2019,74624,2134.9456117589802
13,029,2019,72624,1399.2949202973366
13,077,2019,75913,1224.166623751443
13,057,2019,82740,1449.0306302628205
13,113,2019,90145,1427.9471482407544
13,121,2019,69673,1428.9679623508819
15,003,2019,85857,2109.890263382335
16,055,2019,57242,1171.266461134461
16,001,2019,66293,1257.5238465117664
41,039,2019,52426,1248.578292078065
06,067,2019,67151,1576.3594552667937
06,017,2019,83377,1655.2994244143267
06,053,2019,71015,1983.0521557225675
06,075,2019,112449,3389.0723448274935
06,073,2019,78980,2050.3755630435594
06,107,2019,49687,1142.0794816391835
06,087,2019,82234,2530.701700508283
06,065,2019,67005,1701.3820203973435
06,071,2019,63362,1629.7411500879598
06,041,2019,115246,2973.8680889109532
06,061,2019,89691,1949.2205533384852
06,089,2019,54667,1084.916259056314
06,095,2019,81472,1899.3650150168648
28,049,2019,44625,958.8895843736644
28,033,2019,67038,1170.0877396163157
42,045,2019,74477,1168.8913243737577
51,510,2019,100939,1883.0454476147463
51,650,2019,56287,1048.1955757933395
51,013,2019,120071,2170.5469413364403
51,179,2019,111108,1574.553370635598
51,760,2019,47250,1096.644180478161
51,685,2019,88046,1575.785520383901
53,067,2019,72003,1409.7439703714508
47,165,2019,67204,1228.5550563943625
17,163,2019,55179,812.0229585608371
17,019,2019,52797,979.2634625244364
17,089,2019,79394,1368.9969384376552
17,093,2019,96563,1561.709040963143
17,201,2019,54489,748.3937086518567
41,067,2019,82215,1465.4952214733642
42,017,2019,89139,1559.8638119824718
42,077,2019,63897,1193.6434978743525
42,079,2019,53473,826.9331904561801
44,003,2019,73521,1325.412837121825
44,009,2019,85531,1562.0898433976479
45,085,2019,45661,888.4716253900401
45,091,2019,65361,1126.020117649111
06,007,2019,52537,1249.7876140858668
06,079,2019,73518,1948.0535691129764
06,019,2019,53969,1334.0596638297595
06,029,2019,53350,1137.935307395039
06,059,2019,90234,2230.028330571901
06,111,2019,88131,2129.3564683857157
06,081,2019,122641,3061.4571375631117
06,077,2019,64432,1657.3649360825646
08,031,2019,68592,1596.0994051041605
08,123,2019,74150,1324.1358223244806
08,035,2019,119730,1728.8227211960982
08,069,2019,71881,1430.6348206809164
08,014,2019,96416,1681.7753333689998
11,001,2019,86420,2126.9219872139897
09,009,2019,69905,1238.1327039344862
09,003,2019,75148,1212.9792162007434
47,157,2019,51657,940.1579445594548
47,037,2019,60388,1397.4182751561175
47,125,2019,57541,969.1536586405767
47,065,2019,55070,1047.695792433977
36,083,2019,68991,1014.3920826150048
36,081,2019,68666,2310.060159536213
36,061,2019,86553,3332.0840858359948
36,087,2019,93024,1995.9877008506173
36,063,2019,55522,637.2174629412136
36,059,2019,116100,2573.2880873788404
36,045,2019,52685,937.2097609409567
36,103,2019,101031,2803.969139374434
36,007,2019,52226,796.1864687767489
36,029,2019,58121,957.914009688429
36,071,2019,79944,1483.9133929407146
37,067,2019,51569,996.117775874357
18,089,2019,56128,928.1934622764552
18,059,2019,74072,1167.643116627557
18,067,2019,52373,602.558737367906
18,095,2019,49522,652.791010068035
56,021,2019,66910,985.2315263804388
48,329,2019,79421,1532.363040196152
48,041,2019,49181,1378.5305021321199
48,029,2019,57157,1147.938398350189
