NAME,B19013_001E,state,county,year
"Fayette County, Illinois",46650,17,051,2019
"Logan County, Illinois",57308,17,107,2019
"Saline County, Illinois",44090,17,165,2019
"Lake County, Illinois",89427,17,097,2019
"Massac County, Illinois",47481,17,127,2019
"Cass County, Illinois",52373,17,017,2019
"Huntington County, Indiana",53632,18,069,2019
"White County, Indiana",54576,18,181,2019
"Jay County, Indiana",47658,18,075,2019
"Shelby County, Indiana",60404,18,145,2019
"Sullivan County, Indiana",50245,18,153,2019
"Tippecanoe County, Indiana",53130,18,157,2019
"Hamilton County, Indiana",98173,18,057,2019
"Bartholomew County, Indiana",63431,18,005,2019
"Fulton County, Indiana",52034,18,049,2019
"Noble County, Indiana",56789,18,113,2019
"Clark County, Indiana",55630,18,019,2019
"Hendricks County, Indiana",81933,18,063,2019
"Grant County, Indiana",44356,18,053,2019
"Jackson County, Indiana",51250,18,071,2019
"Owen County, Indiana",49543,18,119,2019
"Whitley County, Indiana",61741,18,183,2019
"Clinton County, Indiana",54286,18,023,2019
"Union County, Indiana",50375,18,161,2019
"Dearborn County, Indiana",68658,18,029,2019
"Lawrence County, Indiana",53610,18,093,2019
"Perry County, Indiana",52348,18,123,2019
"Posey County, Indiana",64196,18,129,2019
"Carroll County, Indiana",54806,18,015,2019
"Fountain County, Indiana",52874,18,045,2019
"Starke County, Indiana",51190,18,149,2019
"Greene County, Indiana",51613,18,055,2019
"Benton County, Iowa",67729,19,011,2019
"Dubuque County, Iowa",63031,19,061,2019
"Pocahontas County, Iowa",52448,19,151,2019
"Van Buren County, Iowa",48591,19,177,2019
"Adams County, Iowa",49255,19,003,2019
"Audubon County, Iowa",52055,19,009,2019
"Davis County, Iowa",63404,19,051,2019
"Ida County, Iowa",58427,19,093,2019
"Monroe County, Iowa",58269,19,135,2019
"Sioux County, Iowa",69844,19,167,2019
"Calhoun County, Iowa",52323,19,025,2019
"Cerro Gordo County, Iowa",53963,19,033,2019
"Hardin County, Iowa",54196,19,083,2019
"Lucas County, Iowa",55205,19,117,2019
"Palo Alto County, Iowa",52932,19,147,2019
"Henry County, Iowa",53501,19,087,2019
"Jasper County, Iowa",58952,19,099,2019
"Poweshiek County, Iowa",53852,19,157,2019
"Clayton County, Iowa",53152,19,043,2019
"Bremer County, Iowa",70395,19,017,2019
"Emmet County, Iowa",51563,19,063,2019
"Hancock County, Iowa",61761,19,081,2019
"Jackson County, Iowa",55967,19,097,2019
"Lee County, Iowa",49564,19,111,2019
"Warren County, Iowa",77048,19,181,2019
"Mahaska County, Iowa",54825,19,123,2019
"Clay County, Iowa",50521,19,041,2019
"Delaware County, Iowa",63750,19,055,2019
"Bacon County, Georgia",37519,13,005,2019
"Brantley County, Georgia",38857,13,025,2019
"Ben Hill County, Georgia",32229,13,017,2019
"Burke County, Georgia",44151,13,033,2019
"Catoosa County, Georgia",56235,13,047,2019
"Chattahoochee County, Georgia",47096,13,053,2019
"Chattooga County, Georgia",36807,13,055,2019
"Columbia County, Georgia",82339,13,073,2019
"Decatur County, Georgia",41481,13,087,2019
"Floyd County, Georgia",48336,13,115,2019
"Forsyth County, Georgia",107218,13,117,2019
"Habersham County, Georgia",50563,13,137,2019
"Hart County, Georgia",43204,13,147,2019
"Lowndes County, Georgia",42441,13,185,2019
"McIntosh County, Georgia",49504,13,191,2019
"Meriwether County, Georgia",37121,13,199,2019
"Monroe County, Georgia",54754,13,207,2019
"Putnam County, Georgia",51606,13,237,2019
"Sumter County, Georgia",36681,13,261,2019
"Taliaferro County, Georgia",37446,13,265,2019
"Warren County, Georgia",37203,13,301,2019
"Wayne County, Iowa",44768,19,185,2019
"Scott County, Iowa",61183,19,163,2019
"Sherman County, Kansas",54754,20,181,2019
"Thomas County, Kansas",60124,20,193,2019
"Morris County, Kansas",55658,20,127,2019
"Rooks County, Kansas",49415,20,163,2019
"Clark County, Kansas",53348,20,025,2019
"Harper County, Kansas",49865,20,077,2019
"Lyon County, Kansas",46338,20,111,2019
"Pawnee County, Kansas",49917,20,145,2019
"Comanche County, Kansas",54821,20,033,2019
"Gove County, Kansas",48317,20,063,2019
"Harvey County, Kansas",57982,20,079,2019
"Kearny County, Kansas",52599,20,093,2019
"McPherson County, Kansas",59089,20,113,2019
"Desha County, Arkansas",31893,05,041,2019
"Fulton County, Arkansas",35405,05,049,2019
"Howard County, Arkansas",36059,05,061,2019
"Garland County, Arkansas",44777,05,051,2019
"Mississippi County, Arkansas",39962,05,093,2019
"Pope County, Arkansas",43462,05,115,2019
"Prairie County, Arkansas",42660,05,117,2019
"Union County, Arkansas",44663,05,139,2019
"Woodruff County, Arkansas",32845,05,147,2019
"Cleburne County, Arkansas",44483,05,023,2019
"Cleveland County, Arkansas",46684,05,025,2019
"Jackson County, Arkansas",34109,05,067,2019
"Hempstead County, Arkansas",42860,05,057,2019
"Sharp County, Arkansas",34671,05,135,2019
"Stone County, Arkansas",38188,05,137,2019
"Washington County, Arkansas",50451,05,143,2019
"Baxter County, Arkansas",42260,05,005,2019
"Ashley County, Arkansas",44744,05,003,2019
"Craighead County, Arkansas",47286,05,031,2019
"Greene County, Arkansas",47056,05,055,2019
"Perry County, Arkansas",48667,05,105,2019
"Poinsett County, Arkansas",40921,05,111,2019
"Sevier County, Arkansas",47704,05,133,2019
"Calhoun County, Arkansas",46417,05,013,2019
"Clark County, Arkansas",41620,05,019,2019
"Lawrence County, Arkansas",39993,05,075,2019
"Monroe County, Arkansas",38468,05,095,2019
"Conway County, Arkansas",42802,05,029,2019
"Newton County, Arkansas",38082,05,101,2019
"Arkansas County, Arkansas",46696,05,001,2019
"Lonoke County, Arkansas",59094,05,085,2019
"Carroll County, Arkansas",46110,05,015,2019
"St. Francis County, Arkansas",35348,05,123,2019
"Pulaski County, Arkansas",51749,05,119,2019
"Merced County, California",53672,06,047,2019
"Mariposa County, California",48820,06,043,2019
"Modoc County, California",45507,06,049,2019
"Contra Costa County, California",99716,06,013,2019
"Inyo County, California",57316,06,027,2019
"Stanislaus County, California",60704,06,099,2019
"Santa Barbara County, California",74624,06,083,2019
"Tehama County, California",44514,06,103,2019
"Mono County, California",62260,06,051,2019
"San Benito County, California",86958,06,069,2019
"Bryan County, Georgia",72624,13,029,2019
"Butts County, Georgia",43471,13,035,2019
"Camden County, Georgia",56951,13,039,2019
"Crawford County, Georgia",46283,13,079,2019
"Early County, Georgia",30640,13,099,2019
"Coffee County, Georgia",40859,13,069,2019
"Coweta County, Georgia",75913,13,077,2019
"Gilmer County, Georgia",52625,13,123,2019
"Walton County, Georgia",61599,13,297,2019
"Wilkes County, Georgia",37838,13,317,2019
"Dodge County, Georgia",39302,13,091,2019
"Gordon County, Georgia",45865,13,129,2019
"Cherokee County, Georgia",82740,13,057,2019
"Fayette County, Georgia",90145,13,113,2019
"Lee County, Georgia",69280,13,177,2019
"Pickens County, Georgia",67631,13,227,2019
"Greene County, Georgia",52129,13,133,2019
"Cook County, Georgia",41854,13,075,2019
"Dawson County, Georgia",66281,13,085,2019
"Fulton County, Georgia",69673,13,121,2019
"Hawaii County, Hawaii",62409,15,001,2019
"Honolulu County, Hawaii",85857,15,003,2019
"Kauai County, Hawaii",83554,15,007,2019
"Kalawao County, Hawaii",69375,15,005,2019
"Cassia County, Idaho",52935,16,031,2019
"Lincoln County, Idaho",50053,16,063,2019
"Valley County, Idaho",64475,16,085,2019
"Franklin County, Idaho",57215,16,041,2019
"Nez Perce County, Idaho",58107,16,069,2019
"Kootenai County, Idaho",57242,16,055,2019
"Minidoka County, Idaho",53370,16,067,2019
"Twin Falls County, Idaho",52919,16,083,2019
"Blaine County, Idaho",56694,16,013,2019
"Boise County, Idaho",59646,16,015,2019
"Butte County, Idaho",42132,16,023,2019
"Gooding County, Idaho",47204,16,047,2019
"Ada County, Idaho",66293,16,001,2019
"Bear Lake County, Idaho",54167,16,007,2019
"Bingham County, Idaho",55472,16,011,2019
"Camas County, Idaho",39688,16,025,2019
"Clearwater County, Idaho",43915,16,035,2019
"Jefferson County, Idaho",63048,16,051,2019
"Lane County, Oregon",52426,41,039,2019
"Surry County, Virginia",57962,51,181,2019
"Clarke County, Virginia",80026,51,043,2019
"Mecklenburg County, Virginia",43207,51,117,2019
"Augusta County, Virginia",62711,51,015,2019
"Goochland County, Virginia",93994,51,075,2019
"Madison County, Virginia",57895,51,113,2019
"Roanoke County, Virginia",68948,51,161,2019
